repeat_index,wavelength_nm,input_power_mW,output_power_mW
1,1548.0,2.400,1.920
1,1548.5,2.400,1.845
1,1549.0,2.400,1.600
1,1549.5,2.400,0.720
1,1550.0,2.400,0.120
1,1550.5,2.400,0.735
1,1551.0,2.400,1.610
1,1551.5,2.400,1.850
1,1552.0,2.400,1.925
2,1548.0,2.395,1.915
2,1548.5,2.395,1.838
2,1549.0,2.395,1.592
2,1549.5,2.395,0.710
2,1550.0,2.395,0.118
2,1550.5,2.395,0.728
2,1551.0,2.395,1.602
2,1551.5,2.395,1.842
2,1552.0,2.395,1.919
3,1548.0,2.405,1.928
3,1548.5,2.405,1.852
3,1549.0,2.405,1.608
3,1549.5,2.405,0.726
3,1550.0,2.405,0.122
3,1550.5,2.405,0.741
3,1551.0,2.405,1.617
3,1551.5,2.405,1.857
3,1552.0,2.405,1.931
